datetime,wind_mw,solar_mw,gas_mw,coal_mw,nuclear_mw,fuel_total_mw
2025-01-22 15:00:00,9098.351043,15858.219763,19663.848367000002,4123.765286,5113.235144,53857.419603
2025-01-22 16:00:00,9330.346231,13700.670002,20443.865712,5144.769426,5113.98622,53733.637591
2025-01-22 17:00:00,9028.922224999998,3358.1834110000004,29686.80486,7656.385848,5113.782219,54844.078562999995
2025-01-22 18:00:00,9891.351049,6.034299,33678.352045,9214.410783000001,5114.284876,57904.433052
2025-01-22 19:00:00,12409.7133,0.050397000000000004,33404.048396,9391.975816,5113.540044000001,60319.327953
2025-01-22 20:00:00,15001.607367,0.005647,31917.035616,9350.609727,5113.545174,61382.803531
2025-01-22 21:00:00,16077.52249,0.00095,30895.039588,9278.032717000002,5113.291244,61363.886989
2025-01-22 22:00:00,16246.188282000003,0.000968,29986.673806,9092.553376999998,5113.842681,60439.259114
2025-01-22 23:00:00,11074.682601,0.000728,22579.431617000002,6830.657266,3835.407642,44320.179854
2025-01-23 00:00:00,12804.565015,0.001745,30901.951407,9040.348931,5114.441561,57861.308659
2025-01-23 01:00:00,12184.709421,0.00098,31630.270664000003,9119.686299,5114.805545,58049.472909000004
2025-01-23 02:00:00,12341.121433,0.000816,31951.491599999998,9331.801781,5114.45888,58738.87451
2025-01-23 03:00:00,12712.916109,0.007905,32555.081178999997,9314.151289000001,5113.5164669999995,59695.672949
2025-01-23 04:00:00,12951.342885,0.002821,33697.847358,9393.801689,5112.969292,61155.964045
2025-01-23 05:00:00,12998.460126,0.007036000000000001,35812.976705,9516.983524000001,5112.489275,63440.916666000005
2025-01-23 06:00:00,13644.618758,26.308586,37196.277714,9672.370649,5112.119516000001,65651.69522300002
2025-01-23 07:00:00,13718.3923,481.357016,37111.073556999996,9727.725662,5110.940676,66149.489211
2025-01-23 08:00:00,12392.563157,8469.612155,31451.543916000002,9439.806344,5110.441285,66863.96685699999
2025-01-23 09:00:00,8103.65132,17798.192888999998,23858.208713,8730.826432,5108.586614,63599.465968000004
2025-01-23 10:00:00,8185.792229000001,19913.736746,19524.18648,7774.618415999999,5110.711495,60509.04536599999
2025-01-23 11:00:00,11054.538601,20243.560253,16670.261999000002,5770.016396,5111.834316,58850.211565000005
2025-01-23 12:00:00,11406.005737,19913.110727,15852.708068999998,4511.113499,5112.708571,56795.646603
